#Abundances for EH3
e-  0.000
Al  11.298
C   11.296
Ca  11.104
Cl  9.308
Co  9.936
Cr  10.474
F   9.850
Fe  12.491
H   12.000
K   9.925
Mg  12.411
Mn  10.333
N   10.183
Na  11.153
Ni  11.246
O   13.073
P   10.244
S   11.938
Si  12.609
Ti  9.850
Zn  9.335
